 BLOODSTORM ; MUTANT X-VERSE;ORORO MUNROE ;;;
 BLOODSTRIKE;ERIC CONROY;;;;
 BLOODVESSEL; BUSTA;;;;
 BLOODWING [SHI'AR];;;;;
 BLOODWRAITH;SEAN DOLAN;;;;
 BLOODY BESS;;;;;
 BLOODY MARY;;;;;
 BLOTT; BRIGADIER INKY;;;;
 BLOWTORCH;;;;;
 BLUDGEON;;;;;
 BLUDGEON;;;;;
 BLUE BULLET;PROF. JOHN GOLDSTEIN;;;;
 BLUE DIAMOND;PROFESSOR ELTON T. MORROW;;;;
 BLUE SHIELD;JOSEPH JOEY CARTELLI;;;;
 BLUE STREAK;;;;;
 BLUNT;;;;;
 BLUR;;;;;
 BLURRY;;;;;
 BOAK;;;;;
 BOBCAT;;;;;
 BODYBAG;;;;;
 BOERKE; MAYOR;;;;
 BOGATYR;MIKULA GOLUBEV;;;;
 BOGGS; MORDECAI P.;;;;
 BOLERO;;;;;
 BOLT;LAWRENCE EVANS;;;;
 BOLT II;CHRIS BRADLEY;BRIAN JOHNSON;;;
 BOLT; COUNCILMAN ANDREW;;;;
 BOMBADIER;;;;;
 BOMBLAST;;;;;
 BOMBSHELL;;;;;
 BOND;;;;;
 BONEBREAKER;;;;;
 BONES;ELIZABETH BLISS;;;;
 BONITA;;;;;
 BOOBYTRAP;;;;;
 BOOKWORM;NELSON GRUBER;;;;
 BOOMER;TABITHA SMITH;;;;
 BOOMERANG;FRED MYERS;;;;
 BOOMSLANG;;;;;
 BOONE;;;;;
 BORA;;;;;
 BORAKU;;;;;
 BORROB;;;;;
 BORROUGHS; CHARLES CHARLIE;;;;
 BOSCO; ELAINE;;;;
 BOSHLOVOR;;;;;
 BOUDREAUX; BELLA DONNA;;;;
 BOUDREAUX; BELLA DONNA ; MUTANT X-VERSE;;;
 BOUDREAUX; MARIUS;;;;
 BOULDER;;;;;
 BOUNCER;;;;;
 BOUNTY;;;;;
 BOUNTY II;;;;;
 BOVA;;;;;
 BOWDEN; DENNIS;;;;
 BOWEN; FATHER MICHAEL;;;;
 BOWMAN; MAJ.;;;;
 BOX;ROGER BOCHS;;;;
 BOX II;JERRY JAXXON;;;;
 BOX IV;MADISON JEFFRIES;;;;
 BOYD; TWO-FISTED TOMMY;;;;
 BRADDOCK; ELIZABETH;;;;
 BRADDOCK; JAMES;;;;
 BRADDOCK; JAMES JR. JAMIE;;;;
 BRADDOCK; JOHN;;;;
 BRADLEY; CARRIE;;;;
 BRADLEY; HANK;;;;
 BRADLEY; JESSICA;;;;
 BRAHAMS;;;;;
 BRAHMANES;;;;;
 BRAIN CELL;;;;;
 BRAIN DRAIN;WERNER SCHMIDT;;;;
 BRAINCHILD;;;;;
 BRAINSTORM;;;;;
 BRAINY;;;;;
 BRAITHWAITE; JUDGE ROBERT;;;;
 BRAMER;;;;;
 BRANDEIS; CAMMY;;;;
 BRANDEIS; LIZ PARRISH;;;;
 BRANDEIS; PROF. HENRY;;;;
 BRANDT; ELLEN;;;;
 BRANNEX;;;;;
 BRANNEX; ALLESSANDRO;;;;
 BRANSON;;;;;
 BRASS;SEAN WATANABE;;;;
 BRASS BISHOP;;;;;
 BRAWLER;;;;;
 BRAWN; HUNTER;;;;
 BRAWN; TRISTAN;;;;
 BREAKER;RAAK;;;;
 BREEGAN;;;;;
 BRES;;;;;
 BREWER; AMY;;;;
 BREWER; DR. MELINDA;;;;
 BRICKFORD; CLAY;;;;
 BRICKMAN; GLORIA;;;;
 BRICKMAN; SEN. MILES RALPH;;;;
 BRIDGE; GEORGE WASHINGTON G.W.;;;;
 BRIGGS; AGENT;;;;
 BRIGGS; AGENT STEPHANIE;;;;
 BRIGHTSWORD;CARTER DYAM;;;;
 BRIGHTWIND;;;;;
 BRINKE; NIOMI;;;;
 BRIQUETTE;;;;;
 BROADSIDE;;;;;
 BROGIN; BULL;;;;
 BROKEN MAN;;;;;
 BROKER;;;;;
 BROMINE;;;;;
 BROMWELL; DR.;;;;
 BRONA;;;;;
 BROOKS; ANNA;;;;
 BROOP;;;;;
 BROTHER CAESAR;;;;;
 BROTHER ROYAL;;;;;
 BROTHER STEPHEN;;;;;
 BROTHER TODE;;;;;
 BROTHER VIRGIL;;;;;
 BROTHER VOODOO;DANIEL DRUMM;JERICHO DRUMM;;;
 BROTHER VOODOO ; MUTANT X-VERSE;;;;
 BROTHER WONDERFUL;DR. ABNER DOOLITTLE;;;;
 BROTHERS GRIMM;;;;;
 BROTHERS GRIMM II;BARTON & PERCY GRIMM;;;;
 BROWN; ABE;;;;
 BROWN; FRANK;;;;
 BROWN; LAURA;;;;
 BROWN; MINDY MCPHERSON;;;;
 BROWSER;;;;;
 BRUKNER; DR. FRANK;;;;
 BRUKNER; ILANEY;;;;
 BRUNNHILDE;MCM-XLI (1941);;;;
 BRUNO;;;;;
 BRUTACUS;;;;;
 BRUTE;REED RICHARDS COUNTER-EARTH;;;;
 BRUTE II;;;;;
 BRUTE ; MUTANT X-VERSE;HENRY MCCOY ;;;
 BRUTO THE STRONGMAN;;;;;
 BRUTUS;;;;;
 BRUTUS II;;;;;
 BRUTUS KLOR;;;;;
 BRYCE; ARCHER;;;;
 BUCHANAN; SAM;;;;
 BUCHETTO; SALVATORE SIDE POCKETS;;;;
 BUCHOVITZ; STANLEY &STONEWALL&;;;;
 BUCKNER; GRANT;;;;
